company,title,time,summary,sourceURL,label,source,credible
商汤科技,商汤科技将于4月10日推出全新日日新 6.0 AI 模型,2025-04-10,主打“强推理”的全新AI模型，提升推理能力。,无来源,"日日新 6.0, AI模型, 强推理",https://www.aicpb.com/news,no
微软,微软更新Copilot，升级为个性化AI伙伴,2025-04-08,AI助手能记住对话并理解用户喜好。,无来源,"Copilot, AI助手, 个性化",https://www.aicpb.com/news,no
OpenAI,OpenAI计划收购io Products，增强技术实力,2025-04-08,收购旨在增强个人智能设备领域的技术实力。,无来源,"io Products, 收购, 个人智能设备",https://www.aicpb.com/news,no
NVIDIA,NVIDIA推出NIM微服务，简化智能体工作流,2025-04-08,提供预打包优化模型，简化智能体的工作流。,无来源,"NIM, 微服务, 智能体",https://www.aicpb.com/news,no
字节跳动,字节跳动旗下公司登记即梦AI美术作品著作权,2025-04-08,提供AI图片、视频创作功能。,无来源,"即梦AI, AI创作, 美术作品",https://www.aicpb.com/news,no
谷歌,谷歌发布Android Auto 14.0正式版,2025-04-08,优化界面并暗示车机版AI正在开发中。,无来源,"Android Auto 14.0, 车机版AI, 界面优化",https://www.aicpb.com/news,no
阿里云,阿里云与中科院青藏所联合推“洛书”大模型,2025-04-08,提升水资源预测准确率。,无来源,"洛书, 大模型, 水资源预测",https://www.aicpb.com/news,no
腾讯,腾讯ARC实验室与香港城市大学发布AI研究项目AnimeGamer,2025-04-08,可实现动漫人生模拟。,无来源,"AnimeGamer, AI研究, 动漫模拟",https://www.aicpb.com/news,no
重庆医科大学附属儿童医院,上线儿科AI家庭医生“重儿·小乙医生”,2025-04-08,提供24小时健康咨询。,无来源,"重儿·小乙医生, AI家庭医生, 健康咨询",https://www.aicpb.com/news,no
VIVO,VIVO申请注册MR头显与AI眼镜商标,2025-04-08,计划2025年推相关产品。,无来源,"MR头显, AI眼镜, 产品计划",https://www.aicpb.com/news,no
OPPO,OPPO Find X8系列公布AI灵感成片功能,2025-04-08,让废片变大片，将于4月10日发布。,无来源,"Find X8, AI灵感成片, 产品发布",https://www.aicpb.com/news,no
亚马逊,亚马逊升级 AI 视频模型 Nova Reel，最长可生成两分钟多镜头视频,2025-04-08,Nova Reel 1.1 版本可生成最长两分钟的多镜头视频，用户输入最多 4000 个字符的提示词，新增“多镜头手动”模式，最多生成 20 个镜头的视频。,https://www.ithome.com/0/843/656.htm,"Nova Reel, 视频生成, 多镜头",https://ai-bot.cn/daily-ai-news/,no
灵心巧手科技,超越特斯拉，全球自由度最高的北京灵巧手创企，灵心巧手拿下超亿融资,2025-04-08,灵心巧手科技完成超亿元种子轮融资，Linker Hand系列灵巧手自由度达25-30个，科研版最高自由度达42个，构建全球最大灵巧操作数据集DexSkill-Net。,https://zhidx.com/p/474263.html,"Linker Hand, 灵巧手, 融资",https://ai-bot.cn/daily-ai-news/,no
DeepSeek,DeepSeek 联合清华大学发布 DeepSeek-GRM 模型，推理时可扩展性显著提升,2025-04-07,DeepSeek-GRM 模型采用点式生成奖励建模，推理时扩展到 32 个样本性能可与 671B 参数模型相当，展现出推理时可扩展性的巨大优势。,https://ai-bot.cn/deepseek-grm/,"DeepSeek-GRM, 模型扩展, 推理",https://ai-bot.cn/daily-ai-news/,no
Meta,Meta 开源的多模态系列 AI 模型— —Llama 4，重夺开源王座,2025-04-07,Llama 4 系列模型采用混合专家架构，Maverick 有 4000 亿参数，128 个专家模型中 170 亿参数活跃，提升训练和回答效率。,https://ai-bot.cn/llama-4/,"Llama 4, 多模态, 开源",https://ai-bot.cn/daily-ai-news/,no
Midjourney,Midjourney 发布 AI 图片生成模型 V7，新增“草图模式”支持语音生图,2025-04-07,Midjourney V7 版本增强文本理解能力，支持对话式交互界面、实时编辑、语音识别生成功能。,https://ai-bot.cn/midjourney-v7/,"Midjourney V7, 图片生成, 语音识别",https://ai-bot.cn/daily-ai-news/,no
OpenRouter,OpenRouter 推出 Quasar Alpha：百万 Token 上下文的 AI 模型免费开放,2025-04-07,Quasar Alpha 模型具有 100 万 token 的超大上下文窗口，支持多种编程语言，生成速度快，延迟低。,https://ai-bot.cn/quasar-alpha/,"Quasar Alpha, AI模型, 上下文处理",https://ai-bot.cn/daily-ai-news/,no
微软,微软 Copilot 增加记忆、操控网页、创建播客等海量功能，打造独一无二 AI 伴侣,无时间,Copilot 增加多项新功能，提升用户体验，成为独一无二的 AI 伴侣。,无来源,"Copilot, AI伴侣, 功能增强",https://ai-bot.cn/daily-ai-news/,no
